GarageArea,GrLivArea,KitchenQual,TotalBsmtSF,YearBuilt
372,1838,TA,732,2005
484,1309,Gd,1040,1974
694,2643,Ex,2153,2006
200,1131,TA,676,1941
400,1960,TA,960,1952
336,1144,TA,1144,1963
576,1056,TA,1056,1980
0,693,Fa,693,1941
576,1494,Gd,1479,1997
482,1646,Gd,1594,2004
352,864,TA,864,1972
750,1566,Gd,1566,2008
497,1395,TA,723,1972
539,1208,TA,780,1925
180,1513,TA,939,1920
560,1367,TA,884,1931
386,955,TA,955,1966
210,1077,TA,1007,1922
572,1056,TA,1056,1955
615,1553,Gd,756,2005
865,1614,Gd,1614,2005
1390,2042,Ex,2042,2008
326,1073,TA,1073,1921
240,1285,TA,672,1948
550,2117,TA,1205,1970
0,605,TA,528,1920
300,1150,TA,1150,1959
400,1456,Gd,728,2005
588,999,Ex,944,1961
564,1500,Gd,750,2005
375,1336,TA,1165,1953
398,1593,TA,839,2004
836,2184,Ex,1104,2008
573,1560,Gd,1560,2003
312,1644,Gd,728,1942
286,630,Gd,630,1970
504,1113,TA,1143,1976
947,2172,Gd,1063,2006
384,1346,TA,560,1910
550,2610,Ex,1184,2007
936,1958,Gd,1026,2005
898,1468,Gd,1468,2008
539,1734,Gd,0,1977
240,1200,TA,768,1946
438,1550,Gd,1092,2006
440,2230,TA,795,1912
240,1639,TA,1064,1936
624,864,TA,864,1958
440,1621,Gd,1208,1984
264,987,Gd,483,1972
628,2519,Gd,1210,1989
440,1365,TA,765,1970
779,2290,Gd,1128,2002
840,2596,Gd,1249,2006
352,907,TA,907,1957
440,1456,TA,855,1976
540,1190,TA,1106,1962
684,858,TA,858,1971
516,2223,TA,2223,1973
672,1005,Fa,1005,1955
409,1895,Gd,712,1994
384,1040,TA,1040,1965
461,1264,TA,1268,1960
578,1761,Gd,874,2007
888,1034,TA,1012,1976
439,1363,TA,1385,1954
480,1689,TA,1436,1956
839,2113,Gd,2109,1995
544,1573,Gd,1573,2002
820,2364,Ex,2330,2009
645,2034,Gd,1057,1997
431,1291,Gd,1291,1996
0,858,TA,858,1958
280,1258,TA,560,1939
246,438,Fa,290,1920
440,1400,TA,672,1978
240,954,Fa,920,1938
645,1445,TA,1127,1964
525,1072,TA,547,2005
0,1664,TA,0,1965
441,2134,Gd,844,1916
380,3194,TA,965,1934
0,1824,TA,912,1971
422,1756,TA,872,1996
576,912,Gd,912,1965
600,1509,Gd,1461,1988
216,1608,Gd,976,1925
397,1316,Gd,1316,2005
450,1015,TA,768,1925
240,1134,TA,756,1940
865,1636,Gd,1623,2006
400,1320,Gd,660,2003
538,2126,TA,1013,1967
525,1128,TA,1120,1963
756,1306,TA,992,1957
0,1344,TA,546,1970
704,2554,TA,718,1890
576,893,Gd,845,1949
668,1933,Gd,894,2007
264,1218,TA,672,1973
534,1969,TA,808,1977
556,2090,Gd,1220,1995
487,1484,TA,1484,1971
506,1656,TA,1656,1973
210,1224,TA,818,1926
390,2054,Gd,992,2000
576,854,TA,832,1929
286,1092,TA,546,1973
252,1268,Gd,1268,1977
550,1661,Gd,799,1996
502,1668,Gd,1657,2003
508,1493,Gd,1478,1997
306,932,Gd,932,1950
526,1277,TA,1277,1970
630,1530,Gd,1530,2004
484,1344,TA,1024,1958
528,860,TA,840,1982
626,1314,Gd,1314,2007
868,1962,Gd,1391,2006
388,1490,Gd,788,2004
420,848,Gd,848,2004
240,672,TA,672,1940
252,2340,Gd,1152,1941
180,1656,TA,660,1916
484,1479,Gd,725,1972
740,1226,Gd,1226,2009
444,2087,Gd,832,1966
576,1158,Gd,1158,2004
480,1154,TA,1154,1966
527,1724,Gd,880,1998
431,1658,TA,773,1995
520,1126,Gd,0,1949
300,1393,TA,816,1955
1014,3447,Gd,728,1935
264,987,TA,483,1973
0,1355,TA,644,1940
505,2069,Gd,585,1960
440,1501,TA,744,1999
908,1976,Gd,1976,2006
758,1563,Gd,1563,2007
288,1111,TA,572,1926
270,1502,TA,776,1931
452,1733,TA,0,1955
706,2728,Ex,1848,2005
264,1302,TA,630,1972
586,1524,Gd,1332,1979
680,1588,TA,0,1959
430,1125,TA,1125,2006
480,1200,Gd,600,2005
520,1640,Gd,798,2004
525,2127,Gd,1223,1994
240,972,TA,972,1948
466,2020,Gd,1128,1995
596,1144,TA,1144,1956
288,1352,Gd,1062,1958
484,1316,TA,926,1929
592,1924,Gd,1086,1998
240,1164,TA,1164,1950
840,952,TA,952,1951
0,2358,TA,684,1872
540,1680,Gd,880,1988
672,1912,TA,482,1905
480,1004,TA,1004,1970
305,1230,TA,747,1946
495,1167,TA,915,1920
440,1301,Fa,1145,1924
445,1453,Gd,1453,1986
670,1601,Gd,1581,2001
825,1588,Gd,1588,2006
264,1095,TA,588,1958
368,1050,TA,1050,1961
432,960,TA,960,1965
280,1456,TA,810,1948
462,1489,Gd,1489,1968
786,1726,Ex,1726,2007
484,2082,Gd,1362,2003
484,1339,TA,1309,1990
1069,2450,Gd,1284,1998
660,1863,Gd,879,2006
396,768,TA,768,1972
0,334,Fa,0,1946
384,1136,TA,1136,1965
405,1337,TA,1237,1998
288,912,TA,912,1964
264,1812,TA,864,1962
240,2192,Gd,720,1939
0,1184,TA,658,1910
308,1889,TA,925,1910
624,1327,Gd,1063,1959
576,1422,Gd,1422,1981
576,1632,TA,1632,1967
451,1630,Gd,1630,2000
0,1526,Fa,1013,1915
420,1040,TA,0,1949
216,1647,Fa,806,1915
576,1981,Gd,1122,1928
418,1644,TA,1416,1953
868,2574,Ex,1482,2007
520,1824,TA,764,1919
520,1350,TA,1248,1964
440,958,TA,958,1976
370,1848,Gd,833,1923
490,1620,TA,1281,1976
400,1167,Gd,1158,1992
220,1487,TA,735,1945
288,892,TA,892,1967
240,804,Gd,788,1940
0,1140,TA,1140,2006
483,1796,TA,780,1963
551,2030,Gd,848,1976
812,2007,Ex,1017,2008
216,691,Ex,691,1920
676,1590,Gd,768,2008
325,1855,TA,994,1954
442,1804,Gd,994,1999
543,1768,Gd,884,2003
807,3627,Gd,1930,1995
403,1298,Gd,1298,1985
484,1801,TA,1501,1959
0,630,Ex,630,1970
440,1103,Gd,1103,1925
384,1178,TA,859,1900
440,1196,TA,1196,1916
529,1372,Gd,1372,2007
296,1431,TA,1099,1962
626,1422,Gd,1422,2004
501,1953,Gd,1580,1992
440,1121,TA,1121,2003
852,2473,Gd,1143,2004
576,1057,TA,1057,1962
602,1110,Gd,1097,1978
671,2270,Gd,1152,1999
746,2018,Ex,2002,2008
440,1386,TA,672,1978
1043,1953,Gd,1082,2005
462,1337,Gd,1337,1993
648,2285,Gd,969,2000
826,1718,Gd,1705,2007
484,1086,TA,1024,1966
660,1555,Gd,1373,2007
567,1902,Ex,1902,1959
693,2514,TA,1216,1990
528,1224,TA,1086,1979
460,1054,TA,1054,1969
676,2612,Gd,1225,1998
288,902,TA,876,1967
484,2353,Ex,845,1980
299,1392,TA,689,1977
576,1155,Gd,1109,1961
240,1904,TA,1208,1950
208,1158,TA,862,1929
502,1362,TA,611,1920
429,2291,Gd,975,1999
250,1317,TA,649,1920
928,1734,Ex,1734,2007
312,1194,TA,1194,1959
720,1416,TA,876,1915
354,1383,TA,1383,1954
871,2002,TA,1001,1949
474,1496,Gd,1496,2007
660,1604,TA,984,1941
504,764,TA,680,1925
476,1732,Gd,741,1985
840,1494,Gd,1494,2006
180,986,TA,960,1926
397,1145,Gd,1145,2005
0,1484,TA,742,1914
525,1344,Gd,819,1958
686,1539,Gd,650,1904
656,2504,Ex,1122,2005
528,747,TA,600,1926
583,2097,Gd,1108,1998
884,4676,Ex,3138,2007
624,1176,TA,698,1937
0,720,TA,720,1920
830,1580,Gd,1580,2007
0,1440,TA,1440,1977
540,1476,Gd,738,2005
570,1500,Gd,1500,2004
216,1348,TA,884,1925
884,1200,Gd,864,1965
514,1394,TA,1394,1963
484,1632,Gd,800,1966
336,912,TA,912,1967
864,2624,TA,1370,1918
349,1696,TA,1140,1962
440,1230,TA,440,1910
440,2727,Gd,853,1932
429,1456,TA,728,2006
660,864,Gd,864,1970
380,1709,Gd,970,2004
528,1665,Gd,810,2001
656,2646,Gd,1347,1993
595,1640,Gd,798,2003
420,1699,TA,978,1900
529,1663,Gd,1364,1954
504,1728,TA,1728,1963
462,1845,Gd,1055,1992
440,1851,Gd,822,1964
776,1489,Gd,1489,2006
300,864,TA,864,1959
276,1256,TA,1256,1965
816,816,TA,816,1982
492,1820,Gd,864,1965
833,2127,Gd,1104,1991
461,1065,TA,1065,1960
312,1200,TA,1200,1923
632,1208,Gd,1187,2006
642,2482,Gd,1094,2005
527,1720,Gd,1720,1996
0,840,TA,672,1930
496,1294,Gd,1278,1991
450,1090,TA,1090,2005
420,2263,Gd,1141,1998
440,969,TA,969,1975
1248,894,TA,894,1935
360,1028,TA,1008,1927
492,1958,TA,979,1946
895,1795,Gd,1795,2006
606,1940,Ex,1930,2009
439,1178,Gd,1176,1973
400,1482,Fa,672,1925
554,1428,Ex,1417,2008
338,864,TA,864,1972
200,1111,TA,616,1941
420,1470,TA,680,1993
440,1116,TA,1116,1962
288,864,Gd,864,1959
498,1297,TA,1297,1954
264,1113,Gd,1113,1950
577,1501,Gd,1490,1999
614,1547,Gd,756,2009
678,1947,Gd,991,2004
908,1717,Gd,1709,2006
440,1052,TA,1010,1971
455,2013,TA,1117,1996
388,1266,Gd,1266,2007
716,2868,Ex,1992,2005
554,2256,Gd,952,2000
494,1414,Gd,1414,2004
471,1721,Gd,928,1994
434,1552,TA,713,1975
528,1128,TA,698,1920
358,1118,TA,1096,1977
574,1728,TA,1728,1976
711,2448,Gd,1629,1994
452,1473,Ex,1437,1968
400,1717,Gd,1156,1990
400,1166,Gd,856,2005
484,1370,Gd,1370,2006
480,1724,TA,1680,1967
380,1709,Gd,970,2004
264,987,TA,483,1971
216,1802,TA,793,1920
360,2345,TA,952,1932
264,1068,TA,1059,1963
533,1617,Gd,1604,1993
336,1244,TA,1244,1957
252,1180,Fa,700,1922
480,1223,Gd,600,2005
612,1686,TA,1686,1980
800,1646,Gd,1638,2007
264,1144,TA,864,1961
639,1797,Gd,939,2006
462,1224,TA,0,1962
839,1865,Gd,992,2000
308,1056,TA,1056,1958
820,3140,Ex,1926,2008
492,1212,TA,506,1977
636,1694,Gd,1686,2004
413,1511,TA,802,1997
246,1057,Gd,1057,1953
560,2290,TA,777,1885
786,2183,Gd,1204,1988
594,3222,Gd,1673,1990
512,1716,Gd,880,1996
457,1342,TA,1372,1967
437,1504,Gd,1346,2005
648,1992,Gd,1053,2003
462,1252,Gd,600,1999
264,999,Gd,999,1962
528,1363,TA,622,1910
490,1165,TA,1127,1966
702,1668,Gd,1626,2002
853,2376,Gd,1158,2005
352,1440,TA,540,1900
388,1470,TA,794,1997
532,1541,Gd,1541,2005
0,1440,Fa,1440,1955
438,1146,Gd,868,2003
481,1494,Ex,1494,1995
738,2224,Ex,1462,2004
186,1343,TA,731,1921
683,2452,Gd,1028,1998
540,1977,TA,816,1964
504,1767,Gd,1064,1987
550,1324,Gd,1324,2006
330,1458,TA,912,1948
440,1314,Gd,1314,2006
529,1575,Gd,1575,1992
912,1620,Ex,1620,2007
304,1788,TA,1104,1957
240,913,TA,814,1966
500,2073,TA,1542,1978
492,1441,Gd,776,1999
225,1690,TA,815,1916
576,1437,TA,1188,1956
508,2156,TA,1568,1968
0,864,TA,864,1925
336,1112,TA,536,1976
746,2243,Gd,700,1990
210,1328,TA,686,1925
216,968,TA,656,1927
384,1396,TA,698,1915
834,1856,Ex,1856,2010
789,2161,Ex,1582,2007
529,1602,Gd,1602,1977
280,1302,TA,630,1971
393,1509,Gd,783,2002
352,912,TA,912,1962
420,1664,TA,1004,1947
576,1694,TA,1181,1925
220,747,TA,747,1945
420,1040,TA,0,1950
493,1660,Gd,831,2002
308,1691,Gd,1026,1924
720,864,Gd,864,1950
264,752,TA,744,1984
564,1792,Gd,963,2001
474,1626,Gd,764,2003
472,1484,Ex,1476,2006
870,3493,Gd,1470,1880
840,1652,Ex,1652,2006
350,1276,TA,1276,1958
271,1668,TA,856,1950
0,1192,TA,720,1949
504,884,Gd,840,1983
454,2062,TA,1157,1988
392,827,TA,0,1955
532,2019,Gd,728,1910
336,1304,TA,264,1976
216,1368,TA,684,1910
379,1605,TA,840,1915
900,2020,Ex,2006,2009
528,1250,Gd,625,2006
757,1624,Gd,1624,1994
360,845,TA,845,1982
418,1389,TA,1389,1974
480,968,TA,968,1923
286,1092,TA,546,1970
420,848,Gd,848,2003
308,1269,TA,1269,1960
288,1092,TA,1092,1962
539,2263,Gd,795,1977
283,952,TA,952,1956
0,1452,TA,736,1920
504,1039,TA,1039,1965
412,1204,TA,1204,1998
672,1117,TA,1029,1976
701,2196,Gd,2158,1990
328,985,TA,985,1977
880,1629,Gd,3206,2003
216,1477,TA,861,1928
484,980,TA,980,1977
590,2295,Gd,1095,1992
180,1502,Gd,602,1923
432,2201,Gd,697,1966
836,2078,Ex,1034,2007
0,800,Fa,264,1936
840,1578,Ex,1573,2008
774,1932,Ex,1932,2008
404,1507,TA,1075,1960
280,900,TA,882,1967
786,1718,Ex,1700,2006
240,1750,Ex,636,1880
834,2398,Gd,1379,1996
680,1968,Ex,774,2009
532,1536,Gd,1536,2002
200,864,TA,864,1914
546,3228,Gd,3200,1992
670,2149,Gd,1434,2003
864,2640,Gd,1240,1880
530,1682,TA,1304,1970
878,2098,Ex,1030,2005
360,864,TA,864,1965
530,1968,TA,784,1969
480,1097,TA,1040,1984
528,1196,Gd,684,1920
451,1920,Gd,1052,1958
576,1728,TA,1728,1965
577,2031,Gd,1128,2002
297,1196,TA,1196,1956
360,803,TA,720,1941
462,1620,TA,780,1969
1134,2097,Ex,2077,2005
617,1869,Ex,1869,2007
431,1886,Gd,930,1998
308,480,TA,480,1949
516,1296,TA,0,1967
288,816,TA,816,1938
478,1601,TA,1271,1978
451,1792,TA,936,2000
796,2520,Gd,1338,1993
796,1144,TA,1144,1959
621,2601,TA,612,1921
312,1577,Fa,972,1939
624,970,TA,970,1963
513,2036,TA,2136,1965
440,1026,Gd,1026,1969
0,698,TA,698,1947
576,1533,Gd,1533,1975
660,1382,TA,720,1941
530,1391,Gd,1391,2004
240,1078,Gd,1078,1950
471,1296,Gd,1267,2001
301,1442,TA,1442,1958
0,1964,TA,940,1911
644,1502,Gd,1502,2009
458,1392,TA,1392,1957
0,1768,TA,1768,1968
390,1582,TA,1624,1964
301,958,TA,958,1960
600,894,TA,894,1972
402,1224,TA,1224,1999
846,2332,Ex,1682,2007
430,1269,Gd,1256,2004
712,1776,Gd,1732,2006
390,1456,Gd,728,2005
539,1194,TA,655,1959
240,1008,Gd,1008,1953
430,1555,Gd,1373,2005
180,1784,TA,747,1914
280,1108,Gd,637,1930
400,1394,Gd,384,2006
496,1714,TA,980,1988
294,882,TA,0,1959
0,1306,Fa,728,1940
288,1217,TA,626,1980
299,990,TA,990,1994
691,2452,Gd,1117,2004
420,848,Gd,848,2003
300,1369,TA,672,1925
676,1218,Gd,1218,2009
672,2555,TA,588,1922
550,1247,Gd,1247,2005
619,2872,TA,1330,1977
482,1652,Gd,1600,2008
546,1844,TA,1844,1977
689,1971,Gd,1113,2005
463,1800,TA,982,2000
574,1949,Gd,1050,1993
0,630,TA,630,1972
530,1494,Gd,1494,2002
0,968,TA,600,1910
508,1274,Gd,1274,2005
364,1520,TA,1156,1955
528,1285,TA,660,1977
393,1509,Gd,783,2003
550,1935,TA,793,1976
0,816,TA,816,1990
555,1200,Gd,1176,2003
548,1470,TA,941,1954
528,1656,TA,1080,1960
240,792,Gd,768,1924
818,1694,Gd,1694,2007
765,1800,Gd,1800,2002
560,2337,TA,662,1900
315,1846,TA,1040,1949
576,1026,TA,940,1978
408,904,TA,876,1966
484,1126,TA,1126,1977
872,2468,Gd,1136,2004
540,988,TA,938,1969
288,1052,TA,1052,1968
0,1096,TA,572,1924
484,1141,TA,1141,2005
484,1790,TA,732,1972
660,1852,Gd,1004,1999
0,754,TA,520,1935
513,1344,TA,624,1916
576,2207,TA,1947,1970
360,2358,TA,907,1908
831,2715,Gd,1142,1976
484,1364,Gd,1364,2005
402,1253,TA,1237,1995
528,1328,TA,1328,1963
286,1422,TA,978,1960
486,1986,TA,768,1965
192,952,Fa,952,1916
500,1660,Gd,1660,2006
1166,2234,Ex,2216,2008
160,790,TA,768,1930
396,1340,Gd,1340,2007
480,1610,Gd,1610,1977
600,2620,TA,1361,1977
438,1248,Gd,1248,2005
288,912,Gd,912,1961
472,1638,TA,943,1998
1356,1622,TA,1249,1961
180,2320,Gd,1028,1945
456,1144,TA,1144,1961
281,1520,TA,793,1932
472,1516,TA,1516,1964
675,1498,Gd,1498,2006
560,1961,Gd,804,2001
440,1456,Gd,728,2006
349,2403,TA,1032,1940
708,1944,Ex,1896,2003
474,1368,Gd,1368,2005
588,1790,Gd,873,1999
858,2713,Ex,1452,2008
312,1271,TA,720,1948
604,1872,TA,1845,1988
577,2090,Gd,1190,1984
546,1796,TA,794,1998
436,1302,Gd,1302,2007
542,2524,Gd,2524,1981
338,1374,TA,840,1920
474,1626,Gd,764,2003
240,1034,TA,735,1940
588,1518,Ex,1518,2003
240,1818,TA,1040,1931
598,1661,Gd,1649,1998
432,1991,TA,854,1932
324,1482,TA,650,1920
564,1742,Gd,1742,1985
280,1250,Fa,686,1918
528,1176,TA,816,1934
506,1915,Gd,908,1992
240,1595,TA,940,1940
377,1661,Gd,992,1955
552,1935,TA,832,2009
534,1795,Gd,1777,2002
434,1928,Gd,847,2003
336,1159,TA,1051,1968
440,1456,TA,855,1978
431,1954,Gd,798,1939
880,2028,Gd,1868,2005
665,2898,Gd,1565,1976
663,1674,Gd,814,2000
0,974,TA,974,1991
586,1989,Gd,1065,2002
678,2097,Gd,1080,1993
500,1442,TA,1424,1990
720,1130,TA,1120,1920
240,1820,TA,1026,1925
583,2119,TA,689,1972
666,2576,Ex,1234,2006
0,1020,TA,780,1875
779,1774,TA,1095,1900
0,904,Fa,683,1922
490,1382,Gd,673,2000
840,3608,Ex,1107,1892
205,2210,Fa,1008,1880
373,1572,TA,806,1995
739,1824,Gd,1643,1971
304,1056,TA,1056,1968
392,1221,TA,784,1924
504,1362,TA,1362,1961
420,848,Gd,848,2004
527,1434,Gd,1454,2001
628,1208,Gd,1208,2007
566,1466,Gd,796,1936
691,1987,Gd,1986,1994
983,2418,Gd,1311,1993
626,1314,Gd,1314,2007
380,1709,Gd,970,2004
0,1218,TA,672,1971
0,3395,Fa,1440,1914
0,1200,TA,1200,1987
297,912,TA,912,1958
832,4316,Ex,2444,1994
548,1710,Gd,856,2003
656,2374,Ex,1181,2003
234,1564,Fa,704,1941
528,1466,Fa,1466,1959
292,1383,TA,1383,1960
410,1535,TA,0,1979
576,990,TA,990,1995
240,1646,TA,918,1941
440,1928,Fa,1020,1910
550,1725,TA,539,1979
541,2872,Gd,1683,1992
576,2112,TA,952,1969
240,1324,TA,672,1936
480,1200,Gd,600,2005
468,1344,TA,672,1920
500,1668,Gd,840,2003
400,1040,TA,0,1950
576,900,Gd,900,1951
812,1559,TA,1559,1948
248,948,TA,864,1954
264,923,TA,923,1980
782,1552,Gd,1552,2005
642,1717,Gd,756,1915
440,1721,TA,1461,1968
264,987,TA,483,1973
521,1200,Gd,1200,1995
281,1716,TA,768,1949
336,894,TA,894,1965
336,1771,TA,0,1960
528,1173,Gd,1053,1974
576,1287,Gd,1063,1959
459,1382,TA,1051,1963
721,2520,Gd,1203,1995
297,1215,TA,1215,1958
844,2526,Gd,1165,1994
480,1200,Gd,600,2004
560,1728,TA,1728,1976
480,1710,TA,576,1921
870,2392,Gd,1396,1997
457,1744,Gd,996,1993
562,1665,Gd,813,2007
792,2696,Ex,1264,2007
528,864,TA,864,1971
234,672,TA,672,1941
564,1320,TA,1164,1966
440,958,TA,1078,1976
550,1710,Gd,1710,2004
502,1265,Gd,1219,1965
400,1456,Gd,1273,2003
576,1539,TA,927,1936
766,1959,TA,1907,1988
0,1522,TA,1008,1926
0,1124,TA,0,1954
484,2090,TA,1107,1973
461,1214,TA,1214,1965
454,1779,TA,1763,1955
808,1629,Gd,1616,2002
627,1554,Gd,1554,2006
642,2236,Gd,964,1997
0,796,TA,796,1922
308,1680,TA,840,1915
420,848,Gd,848,2003
528,1142,TA,1142,1976
564,1252,TA,1602,1960
564,1684,Ex,1684,2005
888,2000,Gd,2000,2004
834,1616,Gd,1616,2005
531,1872,Ex,1299,2001
225,1576,TA,1042,1928
575,1982,Gd,807,1989
276,988,TA,876,1950
620,1844,Gd,1844,2005
528,1258,Gd,1258,1971
500,1288,Ex,1260,1996
866,1634,Gd,1626,2006
440,1322,TA,855,1974
403,1414,Gd,707,2004
478,1504,Gd,1504,1996
690,1670,Gd,1670,2006
518,2167,Gd,1192,1974
440,1069,TA,1069,1977
525,1072,TA,547,2005
995,1572,TA,1572,1963
456,1869,TA,1088,1890
0,882,TA,882,1956
676,1922,Gd,1922,2005
352,780,TA,780,1972
300,1601,TA,533,1958
430,1530,Gd,1530,2005
0,833,TA,833,1985
308,1183,TA,649,1948
260,1040,TA,1040,1962
1052,2828,Gd,1466,2006
288,1252,TA,1032,1950
305,1246,Gd,1246,1959
180,904,TA,884,1926
416,1652,TA,686,1915
288,1268,TA,832,1949
342,1913,TA,896,1928
484,1358,Gd,1358,2009
484,1657,TA,1657,1970
275,838,Fa,816,1918
390,2060,Gd,992,1999
474,1626,Gd,764,2003
299,1352,TA,663,1969
240,1376,TA,768,1941
240,1660,TA,715,1934
432,1412,Gd,616,2006
216,1469,TA,756,1906
400,1430,TA,384,2000
495,1094,TA,1094,1953
758,1826,Gd,1814,2005
576,924,TA,672,1949
528,1502,Gd,1488,1985
603,1688,Gd,616,1997
572,1262,Gd,1262,2006
788,1905,Ex,1905,2006
541,2031,Gd,1153,1998
478,1350,TA,1064,1974
613,1829,Gd,941,2003
300,965,TA,828,1965
280,924,Fa,672,1941
905,2263,Gd,1055,2001
540,2108,Gd,1127,1935
528,1242,TA,1242,1973
240,1573,Gd,884,1935
434,2035,Gd,884,2001
516,1232,TA,1232,1984
483,1964,TA,803,1976
0,1140,TA,576,1910
450,894,Gd,894,1967
619,2654,Gd,1054,1968
396,768,TA,768,1972
0,912,TA,0,1947
504,2080,Fa,1040,1969
576,1040,Gd,1040,1996
216,1616,Gd,1149,1926
273,1047,TA,641,1885
484,1803,TA,1134,1957
528,832,Gd,832,1954
384,894,TA,894,1966
189,1192,TA,596,1920
772,1850,Gd,1833,2004
288,899,Gd,864,1967
264,892,TA,864,1966
506,2291,TA,1214,1910
360,2138,TA,849,1898
470,1604,TA,926,1997
422,2021,Gd,868,2006
308,938,TA,938,1975
216,1426,Gd,912,1918
400,1920,TA,928,1948
260,1098,TA,1098,1955
0,729,TA,270,1935
528,1252,Gd,1252,1959
792,1584,TA,1584,1967
592,1506,Ex,1498,2008
506,1709,Gd,1698,1999
299,1092,TA,1092,1957
758,1746,Ex,1746,2006
667,2287,TA,1304,1953
200,789,TA,768,1926
270,1041,TA,1041,1959
431,1908,Gd,967,2002
390,2267,Gd,1010,2002
180,875,TA,715,1931
364,1526,TA,1216,1957
714,1567,Gd,1567,1977
1020,2822,Ex,1734,2008
360,1378,Gd,689,1928
368,1738,TA,715,1920
521,2060,TA,1151,1988
286,1128,TA,936,1954
440,1720,Gd,840,2004
338,1050,TA,1050,1956
576,1114,Gd,1114,2003
750,1053,Ex,1008,1958
682,1593,Ex,1593,2001
318,1214,TA,1214,1967
264,816,Gd,816,1982
400,1535,TA,0,1979
795,3112,Gd,1360,1918
685,1919,Gd,1079,2006
672,1097,TA,1097,1994
423,1750,TA,983,1940
288,987,TA,483,1972
576,981,TA,981,1971
447,1700,Gd,1398,1959
308,816,TA,816,1957
622,1840,Gd,944,2001
576,2521,TA,942,1973
902,1002,TA,1002,1970
294,841,TA,721,1950
564,996,Gd,936,1992
856,1713,Ex,1713,2004
576,1412,Gd,1392,1988
923,1236,TA,912,1957
648,1040,TA,1064,1963
608,1616,Gd,1595,1995
601,1414,TA,1184,1958
576,1950,Gd,975,1997
490,1086,TA,1086,1954
528,1576,Gd,1324,1923
624,768,TA,768,1970
676,1381,Gd,1161,1972
647,2169,Gd,1284,2002
287,720,TA,0,1949
520,2792,TA,1510,1920
576,936,TA,936,1953
588,1181,TA,1138,1972
954,1689,Gd,1689,2007
280,948,TA,948,1954
440,1512,Gd,756,2000
450,894,TA,894,1968
644,1852,Gd,900,2009
290,845,TA,0,1957
0,774,Gd,544,1931
666,3238,Gd,2033,1995
632,1232,Gd,1232,2007
528,1164,TA,1164,1969
160,1248,TA,912,1930
572,1687,TA,747,1948
440,1960,Gd,860,2002
286,1092,TA,546,1970
400,894,TA,894,1954
558,1479,Gd,1453,2003
270,1060,Gd,1060,1968
484,1436,Gd,1436,2004
504,1044,Fa,540,1952
320,1768,TA,880,1914
432,816,TA,816,1930
400,1430,TA,384,2000
303,1867,TA,1617,1955
648,1500,Gd,1356,2006
312,1100,TA,1100,1960
264,816,TA,816,1982
308,1328,TA,1350,1959
842,2296,Ex,1722,2008
572,864,TA,864,1955
453,1266,Gd,1257,2005
0,858,TA,858,1971
506,1710,Gd,832,1993
264,1123,TA,732,1939
460,1647,TA,953,1999
288,874,TA,864,1968
522,1788,Ex,1753,2001
416,1839,Gd,1477,1957
484,1868,Gd,780,1976
588,1712,TA,1626,1959
462,1229,TA,561,1980
890,1600,Gd,1566,2007
460,1600,TA,916,1997
240,1344,TA,896,1936
540,1126,Ex,1126,1977
264,923,TA,876,1984
205,616,TA,616,1921
0,1800,TA,1800,1961
