1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
1077,0.0,2.0,No,0,Unf,961,338,Unf,1920.0,1077,TA,8967,60.0,0.0,0,2,5,961,0.0,1920,1950,67000
810,672.0,2.86921381337252,No,156,BLQ,516,400,Unf,1934.0,1482,Fa,12155,70.04995836802664,0.0,0,8,6,672,0.0,1925,1950,140000
1228,0.0,3.0,No,0,Unf,1228,271,Unf,1966.0,1228,Gd,8544,70.04995836802664,0.0,65,6,5,1228,0.0,1966,2006,149350
1720,0.0,3.0,No,919,GLQ,801,527,Fin,1996.0,1720,Gd,10593,59.0,338.0,56,5,7,1720,0.0,1996,1996,260400
816,0.0,2.0,No,816,None,0,816,Fin,1985.0,816,TA,6600,60.0,0.0,0,8,5,816,0.0,1982,2003,138000
1114,0.0,2.86921381337252,No,646,GLQ,468,576,Unf,2004.0,1114,Gd,13695,66.0,0.0,102,5,5,1114,0.0,2004,2004,159000
1848,880.0,4.0,No,1410,GLQ,438,706,Fin,2006.0,2728,Ex,20431,56.0,870.0,0,5,9,1848,0.0,2005,2006,437154
864,0.0,3.0,No,521,BLQ,169,624,None,1964.0,864,TA,9100,70.0,0.0,0,5,5,864,0.0,1958,1958,129900
1064,703.0,2.0,No,495,GLQ,354,504,RFn,1987.0,1767,Gd,5306,44.0,0.0,35,7,7,1064,0.0,1987,1987,239000
1339,0.0,2.86921381337252,No,1053,ALQ,256,484,Fin,1990.0,1339,TA,8049,50.0,54.0,58,5,7,1309,0.0,1990,1990,180000
979,979.0,4.0,No,484,Rec,495,492,Unf,1946.0,1958,TA,7136,82.0,423.0,0,6,6,979,0.0,1946,1950,145000
928,992.0,4.0,No,220,Rec,708,400,None,1948.0,1920,TA,11345,95.0,567.0,0,5,5,928,0.0,1948,1950,137000
672,252.0,2.0,No,348,BLQ,324,280,Unf,1941.0,924,Fa,12180,60.0,0.0,0,4,4,672,0.0,1941,1950,80000
1067,0.0,2.0,No,442,BLQ,625,436,Unf,1996.0,1067,Gd,9600,60.0,0.0,0,7,4,1067,0.0,1950,1995,128000
773,885.0,3.0,No,219,GLQ,554,431,Fin,1995.0,1658,TA,8000,70.04995836802664,0.0,84,5,6,773,0.0,1995,1996,188000
1092,1020.0,4.0,Mn,500,ALQ,176,576,Unf,1969.0,2112,TA,11075,85.0,0.0,0,5,6,952,0.0,1969,1969,206900
1149,1141.0,4.0,Mn,0,Unf,1128,779,Unf,2002.0,2290,Gd,11250,70.04995836802664,0.0,0,5,8,1128,0.0,2002,2002,255900
1022,0.0,2.0,No,247,None,310,280,Unf,1956.0,1022,TA,7200,60.0,0.0,30,4,5,1022,0.0,1910,2006,85000
912,0.0,2.0,No,312,Rec,0,288,Unf,1964.0,912,TA,7800,66.0,0.0,0,5,5,912,0.0,1964,1964,115000
1224,0.0,2.0,Av,1086,GLQ,0,528,Unf,1979.0,1224,TA,7018,64.0,275.0,0,5,5,1086,0.0,1979,1979,153337
2073,0.0,2.86921381337252,No,790,ALQ,589,500,Unf,1978.0,2073,TA,13175,85.0,119.0,0,6,6,1542,0.0,1978,1988,210000
1200,0.0,4.0,No,0,Unf,1200,312,Unf,1923.0,1200,TA,11340,84.0,0.0,0,5,6,1200,0.0,1923,1950,125000
986,0.0,2.0,No,0,Unf,960,180,Unf,1926.0,986,TA,6180,60.0,0.0,128,5,6,960,0.0,1926,1950,102000
1629,0.0,3.0,No,1124,GLQ,1603,880,None,2003.0,1629,Gd,10655,85.0,296.0,0,5,8,3206,0.0,2003,2004,284000
983,767.0,4.0,Mn,660,ALQ,323,423,Unf,1989.0,1750,TA,12508,75.0,0.0,0,7,6,983,0.0,1940,1985,160000
707,707.0,3.0,Av,0,Unf,707,403,Fin,2004.0,1414,Gd,9056,74.0,0.0,35,5,8,707,0.0,2004,2004,178000
1095,679.0,4.0,No,0,Unf,1095,779,Unf,1920.0,1774,TA,9600,60.0,0.0,0,2,4,1095,0.0,1900,1950,87000
816,0.0,3.0,Av,816,GLQ,0,0,None,1978.5061638868744,816,TA,11841,81.0,104.0,32,5,6,816,0.0,1990,1990,118500
698,0.0,2.0,No,0,Unf,698,0,None,1978.5061638868744,698,TA,9405,50.0,0.0,200,9,5,698,0.0,1947,2008,118000
958,620.0,3.0,No,403,BLQ,238,240,Unf,1941.0,1578,Fa,9490,79.0,0.0,0,7,6,806,0.0,1941,1950,133000
1001,634.0,2.0,No,0,Unf,485,255,Unf,1950.0,1635,Gd,5310,59.0,0.0,0,8,6,485,0.0,1910,2003,117000
672,672.0,3.0,No,456,Rec,216,468,Unf,1964.0,1344,TA,10690,59.0,0.0,128,7,5,672,0.0,1920,1997,147000
1630,0.0,3.0,Gd,0,Unf,1622,860,RFn,2008.0,1630,Ex,10226,61.0,270.0,42,5,8,1622,0.0,2008,2008,295493
1252,668.0,4.0,No,57,ALQ,554,451,Unf,1958.0,1920,Gd,13650,70.04995836802664,0.0,0,5,5,1052,0.0,1958,1958,172500
1296,0.0,2.0,No,1005,GLQ,262,471,Fin,2001.0,1296,Gd,6853,70.04995836802664,136.0,25,5,8,1267,0.0,2001,2002,220000
1320,1320.0,4.0,No,0,Unf,1240,864,Unf,1950.0,2640,Gd,11700,65.0,0.0,0,7,7,1240,0.0,1880,2003,265979
966,686.0,4.0,No,686,LwQ,0,416,Unf,1961.0,1652,TA,10800,60.0,0.0,0,6,5,686,0.0,1915,1950,139000
904,0.0,1.0,Gd,350,BLQ,333,0,None,1978.5061638868744,904,Fa,10020,70.04995836802664,0.0,0,1,1,683,0.0,1922,1950,61000
1126,0.0,2.0,None,0,None,0,520,Fin,2002.0,1126,Gd,8777,67.0,0.0,96,5,4,0,0.0,1949,2003,108000
1200,0.0,2.0,No,833,None,343,555,RFn,2003.0,1200,Gd,10083,67.0,0.0,41,5,7,1176,0.0,2003,2003,184900
1426,1519.0,3.0,Gd,0,Unf,1410,641,Fin,2006.0,2945,Gd,13682,66.0,1031.0,0,5,10,1410,0.0,2006,2006,438780
747,0.0,1.0,Mn,0,Unf,600,528,Unf,1953.0,747,TA,5825,52.0,108.0,0,5,4,600,0.0,1926,1953,79900
1120,0.0,3.0,No,932,ALQ,108,544,RFn,1961.0,1120,Fa,6970,85.0,0.0,0,5,4,1040,0.0,1961,1961,129000
848,0.0,1.0,Av,685,GLQ,163,420,Fin,2003.0,848,Gd,4435,70.04995836802664,170.0,0,5,6,848,0.0,2003,2004,144000
575,560.0,3.0,No,350,ALQ,0,576,RFn,1971.0,1135,Gd,7200,60.0,0.0,0,9,7,560,0.0,1936,2007,155000
742,742.0,3.0,No,0,Unf,742,0,None,1978.5061638868744,1484,TA,6300,35.0,0.0,291,6,6,742,0.0,1914,2001,128000
1391,0.0,2.0,Mn,16,None,1375,530,None,2004.0,1391,Gd,4282,59.0,0.0,158,5,7,1391,0.0,2004,2004,196000
774,456.0,3.0,No,384,ALQ,363,305,Unf,1946.0,1230,TA,4712,51.0,0.0,57,7,4,747,0.0,1946,1950,121600
1479,0.0,3.0,No,0,Unf,1468,577,RFn,1999.0,1479,Gd,9382,93.0,125.0,25,5,7,1468,0.0,1999,2000,191000
980,0.0,3.0,Av,400,None,100,384,Fin,1967.0,980,TA,9750,75.0,0.0,0,5,5,980,0.0,1967,1967,135500
799,772.0,3.0,No,0,Unf,799,380,RFn,1993.0,1571,TA,7837,59.0,0.0,40,7,6,799,0.0,1993,1994,178000
803,557.0,2.0,No,0,Unf,803,297,None,1951.0,1360,Gd,7200,60.0,0.0,65,6,5,803,0.0,1938,1995,125500
1098,0.0,3.0,No,902,ALQ,196,260,None,1955.0,1098,TA,7390,70.04995836802664,151.0,0,7,5,1098,0.0,1955,1955,135000
1496,636.0,1.0,Gd,1441,GLQ,55,612,Fin,1983.0,2132,Gd,12327,79.0,0.0,40,8,8,1496,349.0,1983,2009,316600
855,601.0,3.0,No,311,None,544,440,Unf,1978.0,1456,TA,2280,24.0,0.0,0,5,6,855,0.0,1978,1978,146000
802,709.0,3.0,Av,714,GLQ,88,413,Fin,1997.0,1511,TA,11207,70.0,0.0,75,5,6,802,0.0,1997,1997,185000
796,550.0,2.0,No,0,Unf,560,384,Unf,1950.0,1346,TA,11767,70.0,0.0,24,7,4,560,0.0,1910,2000,112000
1584,1208.0,2.86921381337252,No,493,LwQ,1017,520,Unf,1920.0,2792,TA,10440,60.0,0.0,547,7,6,1510,0.0,1920,1950,256000
1261,0.0,3.0,No,662,ALQ,599,433,RFn,1958.0,1261,TA,9120,76.0,0.0,0,6,6,1261,0.0,1958,1958,163000
764,783.0,3.0,Mn,24,GLQ,732,614,Unf,2009.0,1547,Gd,8640,72.0,0.0,45,5,7,756,0.0,2009,2009,215200
1337,0.0,2.0,No,733,GLQ,604,462,RFn,1993.0,1337,Gd,5395,41.0,0.0,0,5,8,1337,0.0,1993,1993,180000
1208,0.0,3.0,No,767,ALQ,441,546,RFn,1977.0,1208,TA,11250,70.04995836802664,0.0,42,6,6,1208,0.0,1977,1977,165000
616,0.0,2.0,No,616,LwQ,0,205,Unf,1921.0,616,TA,6000,50.0,0.0,0,7,5,616,0.0,1921,1950,89000
1549,1178.0,3.0,No,297,Rec,556,440,Unf,1932.0,2727,Gd,10570,70.0,0.0,74,8,8,853,0.0,1932,1994,315000
999,0.0,3.0,Av,784,BLQ,141,300,Unf,1962.0,999,TA,10205,69.0,0.0,72,5,5,925,0.0,1962,1962,134500
1734,1088.0,2.86921381337252,Gd,0,Unf,1734,1020,RFn,2009.0,2822,Ex,13891,107.0,424.0,170,5,9,1734,0.0,2008,2009,582933
1392,1070.0,4.0,Mn,57,GLQ,1335,576,RFn,2006.0,2462,Gd,19378,134.0,456.0,132,5,7,1392,0.0,2005,2006,320000
1428,0.0,3.0,No,0,None,1417,554,RFn,2008.0,1428,Ex,12274,91.0,256.0,60,5,7,1417,0.0,2008,2008,227680
948,742.0,3.0,No,0,Unf,924,463,RFn,2000.0,1690,TA,8063,70.04995836802664,0.0,48,5,6,924,0.0,2000,2000,181000
1516,651.0,2.86921381337252,Gd,125,LwQ,36,518,RFn,1974.0,2167,Gd,17542,70.04995836802664,0.0,47,7,7,1192,0.0,1974,2003,294000
1602,0.0,3.0,No,1246,ALQ,356,529,Fin,1977.0,1602,Gd,16635,70.04995836802664,126.0,0,7,6,1602,0.0,1977,2000,215000
1338,1296.0,6.0,No,500,LwQ,748,968,None,1969.0,2634,TA,11643,91.0,368.0,0,5,5,1248,0.0,1969,1969,200000
1103,0.0,2.0,No,397,BLQ,706,440,None,1976.0,1103,Gd,6000,50.0,0.0,120,6,6,1103,0.0,1925,1980,110500
882,0.0,2.86921381337252,No,138,LwQ,276,461,Unf,1980.0,882,TA,7700,70.0,0.0,0,5,5,882,0.0,1972,1972,112500
1668,0.0,3.0,Av,1059,GLQ,567,702,None,2002.0,1668,Gd,11248,90.0,215.0,45,5,9,1626,0.0,2002,2002,285000
725,754.0,4.0,No,626,ALQ,99,484,Fin,1972.0,1479,Gd,7472,70.04995836802664,138.0,32,9,7,725,0.0,1972,2004,184000
750,750.0,3.0,No,0,Unf,750,564,RFn,2005.0,1500,Gd,8846,68.0,0.0,35,5,6,750,0.0,2005,2006,173900
859,319.0,2.0,Mn,0,Unf,859,384,RFn,1964.0,1178,TA,8712,66.0,0.0,0,7,4,859,0.0,1900,1950,102776
1541,0.0,3.0,Mn,1201,None,340,532,None,2005.0,1541,Gd,12182,95.0,226.0,70,5,7,1541,0.0,2005,2005,220000
1647,0.0,3.0,Mn,1283,ALQ,0,621,Fin,1977.0,1647,Gd,12984,80.0,459.0,0,6,5,1430,0.0,1977,1977,217500
1036,0.0,3.0,No,375,Rec,457,288,Unf,1949.0,1268,TA,12144,60.0,0.0,28,7,5,832,0.0,1949,1950,133000
1124,0.0,3.0,None,0,None,0,0,None,1978.5061638868744,1124,TA,8335,77.0,0.0,36,5,5,0,0.0,1954,1954,93000
1165,0.0,4.0,No,0,Unf,1141,420,Fin,1998.0,2263,Gd,12090,93.0,650.0,123,5,8,1141,144.0,1998,1998,258000
1056,0.0,3.0,No,480,BLQ,108,260,Unf,1954.0,1056,TA,9250,80.0,0.0,0,7,5,1056,0.0,1954,2005,139400
1437,0.0,3.0,No,988,Rec,200,576,Unf,1999.0,1437,TA,14175,70.04995836802664,0.0,0,6,5,1188,0.0,1956,1987,168000
894,0.0,2.0,Av,777,Rec,117,600,RFn,1985.0,894,TA,7200,60.0,0.0,0,5,5,894,0.0,1972,1972,123000
757,0.0,2.86921381337252,No,549,ALQ,195,440,Unf,1999.0,1501,TA,2280,24.0,360.0,0,5,7,744,0.0,1999,1999,179400
1337,0.0,2.0,No,1201,GLQ,36,405,Fin,1998.0,1337,TA,4500,32.0,443.0,199,5,6,1237,0.0,1998,1998,153500
1389,0.0,2.0,Av,1071,ALQ,195,418,RFn,1975.0,1389,TA,10010,77.0,0.0,38,5,5,1389,0.0,1974,1975,170000
882,914.0,3.0,Mn,706,GLQ,88,546,RFn,1998.0,1796,TA,9531,70.04995836802664,0.0,36,5,6,794,0.0,1998,1998,211000
1622,0.0,3.0,Av,1159,BLQ,90,1356,Fin,1975.0,1622,TA,32463,70.04995836802664,149.0,0,4,4,1249,0.0,1961,1975,168000
864,0.0,2.0,No,203,Rec,661,200,Unf,1938.0,864,TA,8212,45.0,0.0,0,3,3,864,0.0,1914,1950,58500
1148,0.0,2.0,Mn,210,LwQ,219,308,Unf,1952.0,1148,TA,6420,57.0,0.0,0,7,5,980,0.0,1952,1952,123500
1214,1306.0,4.0,No,565,GLQ,638,721,None,1995.0,2520,Gd,9950,82.0,290.0,114,5,7,1203,0.0,1995,1995,290000
889,551.0,3.0,No,0,Unf,540,352,Unf,1940.0,1440,TA,5000,63.0,0.0,0,4,5,540,0.0,1900,1950,79000
1026,0.0,3.0,Gd,505,GLQ,0,576,Unf,1981.0,1026,TA,10970,70.04995836802664,0.0,0,6,6,940,0.0,1978,1978,147000
1344,0.0,2.86921381337252,Gd,1309,GLQ,35,784,Fin,1997.0,1344,TA,7060,78.0,200.0,0,5,7,1344,0.0,1997,1998,206300
1541,0.0,3.0,No,0,Unf,1541,843,RFn,2001.0,1541,Gd,13704,118.0,150.0,81,5,7,1541,0.0,2001,2002,205000
930,0.0,2.0,None,0,None,0,308,Unf,1946.0,930,Gd,11100,60.0,0.0,0,7,4,0,0.0,1946,2006,84900
884,464.0,3.0,No,0,None,884,216,Unf,1960.0,1348,TA,6000,50.0,0.0,0,8,5,884,0.0,1925,1997,117000
1156,866.0,4.0,No,392,BLQ,768,505,Fin,1977.0,2022,TA,10005,83.0,299.0,117,5,7,1160,288.0,1977,1977,192000
1836,0.0,3.0,No,24,GLQ,1836,484,Fin,2004.0,1836,Gd,9100,70.0,0.0,33,5,7,1860,0.0,2004,2005,216837
1523,0.0,2.86921381337252,No,644,ALQ,549,478,Fin,1976.0,1523,TA,11361,104.0,160.0,0,5,6,1193,0.0,1976,1976,180000
848,0.0,1.0,Av,685,GLQ,163,420,None,2003.0,848,Gd,4435,70.04995836802664,170.0,0,5,6,848,0.0,2003,2003,140000
1734,0.0,3.0,Av,1300,GLQ,434,660,None,2005.0,1734,Gd,11645,78.0,0.0,24,5,7,1734,0.0,2005,2005,260000
1494,0.0,2.86921381337252,Mn,922,GLQ,572,530,RFn,2002.0,1494,Gd,12803,88.0,99.0,36,5,7,1494,0.0,2002,2002,221000
1464,0.0,3.0,Gd,929,GLQ,556,754,Unf,2007.0,1464,Gd,15256,49.0,84.0,160,5,8,1485,0.0,2007,2007,282922
1350,0.0,3.0,No,0,Unf,1064,478,RFn,1974.0,1350,TA,10140,78.0,174.0,0,5,6,1064,0.0,1974,1974,165000
846,846.0,3.0,Av,0,Unf,846,650,RFn,2009.0,1692,Gd,13159,83.0,0.0,114,5,7,846,0.0,2009,2009,224500
1035,371.0,3.0,No,0,Unf,319,0,None,1978.5061638868744,1406,Fa,7920,70.04995836802664,0.0,144,7,6,319,0.0,1920,1950,89500
1314,0.0,2.0,No,904,GLQ,410,626,RFn,2008.0,1314,Gd,5063,34.0,166.0,62,5,7,1314,0.0,2007,2008,207500
1698,0.0,3.0,No,1234,GLQ,464,768,None,2007.0,1698,Ex,13286,86.0,340.0,64,5,9,1698,0.0,2007,2008,320000
1494,0.0,3.0,Av,0,Unf,1494,840,RFn,2006.0,1494,Gd,10652,91.0,306.0,33,5,7,1494,160.0,2006,2007,279500
827,0.0,2.0,None,0,None,0,392,None,1967.0,827,TA,7200,60.0,0.0,0,7,5,0,0.0,1955,2007,107500
901,0.0,2.0,No,0,Unf,901,281,Unf,1954.0,901,TA,6000,50.0,0.0,0,7,4,901,0.0,1954,2000,107900
915,720.0,3.0,No,300,Rec,765,440,Unf,1950.0,1635,TA,8737,70.0,0.0,38,7,6,1065,0.0,1923,1950,210000
1199,0.0,2.0,No,300,GLQ,899,530,RFn,1993.0,1199,Gd,7892,55.0,0.0,63,5,6,1199,0.0,1993,1993,153900
1419,0.0,2.0,Av,945,None,474,567,RFn,2007.0,1419,Gd,8089,60.0,0.0,0,6,8,1419,0.0,2007,2007,392000
1112,0.0,3.0,No,120,BLQ,736,271,Unf,1950.0,1668,TA,9600,80.0,0.0,0,8,6,856,0.0,1950,2005,140000
1072,0.0,2.0,Gd,547,GLQ,0,525,Fin,2005.0,1072,TA,3675,35.0,82.0,44,5,6,547,0.0,2005,2006,140000
770,812.0,3.0,No,490,GLQ,280,520,RFn,2004.0,1582,Gd,8320,64.0,0.0,45,5,7,770,0.0,2004,2004,185900
793,325.0,3.0,Mn,507,Rec,286,410,Unf,1939.0,1118,TA,7800,65.0,0.0,0,7,5,793,0.0,1939,1950,119900
1215,0.0,3.0,No,585,Rec,630,297,Unf,1958.0,1215,TA,12400,66.0,176.0,0,7,6,1215,0.0,1958,1998,155000
1779,0.0,3.0,Mn,306,ALQ,372,454,Unf,1955.0,1779,TA,17920,102.0,0.0,418,4,5,1763,0.0,1955,1974,170000
953,694.0,3.0,No,0,Unf,953,460,RFn,1999.0,1647,TA,7917,62.0,0.0,40,5,6,953,0.0,1999,2000,175000
1392,0.0,2.0,No,0,Unf,1392,576,RFn,1968.0,1392,TA,13560,120.0,216.0,0,3,6,1392,0.0,1968,1968,110000
864,0.0,2.0,No,167,Rec,697,572,Unf,1957.0,864,TA,8172,60.0,0.0,0,7,5,864,0.0,1955,1990,115000
892,892.0,4.0,Mn,0,Unf,747,180,Unf,1914.0,1784,TA,13132,96.0,0.0,40,5,5,747,0.0,1914,1950,138887
1002,0.0,3.0,No,828,BLQ,174,902,Unf,1973.0,1002,TA,8750,70.04995836802664,76.0,0,6,5,1002,0.0,1970,1970,148500
2524,0.0,4.0,No,1104,ALQ,1420,542,Fin,1981.0,2524,Gd,9600,80.0,0.0,120,5,8,2524,0.0,1981,1981,278000
1279,0.0,3.0,No,641,ALQ,276,473,Unf,1980.0,1279,TA,10125,75.0,0.0,83,6,6,1196,0.0,1977,1977,171500
960,1000.0,4.0,No,0,Unf,960,400,Unf,1952.0,1960,TA,7596,60.0,360.0,0,5,5,960,0.0,1952,1952,124500
851,651.0,3.0,No,0,Unf,776,270,RFn,1931.0,1502,TA,7200,60.0,0.0,0,6,7,776,0.0,1931,2000,149000
976,732.0,3.0,No,0,Unf,976,380,None,2004.0,1708,Gd,3363,32.0,117.0,40,5,7,976,0.0,2004,2004,130000
672,0.0,2.0,None,0,None,0,0,None,1978.5061638868744,912,TA,6240,52.0,0.0,0,5,4,0,0.0,1947,1950,80500
786,390.0,2.0,No,0,Unf,698,624,Unf,1999.0,1176,TA,6000,50.0,0.0,0,9,6,698,0.0,1937,2000,134900
767,0.0,1.0,Av,584,GLQ,0,367,Fin,1998.0,767,TA,4058,34.0,182.0,40,5,7,723,0.0,1998,1998,133000
630,672.0,3.0,No,0,Unf,630,280,Unf,1991.0,1302,TA,1680,21.0,142.0,0,5,5,630,0.0,1971,1971,112000
1690,1589.0,4.0,Gd,1416,ALQ,234,841,Fin,2003.0,3279,Ex,53504,47.0,603.0,36,5,8,1650,0.0,2003,2003,538000
1422,0.0,3.0,No,0,Unf,978,286,RFn,1960.0,1422,TA,12342,70.04995836802664,0.0,0,5,5,978,0.0,1960,1978,139900
1095,0.0,2.0,Gd,513,ALQ,75,264,None,1958.0,1095,TA,10382,75.0,105.0,0,5,6,588,0.0,1958,1958,140000
551,551.0,2.0,No,239,GLQ,312,480,Unf,2004.0,1102,Gd,5105,70.04995836802664,0.0,60,5,7,551,0.0,2004,2004,148800
1268,0.0,2.0,No,540,LwQ,728,244,Fin,1954.0,1268,TA,7800,78.0,200.0,98,6,5,1268,0.0,1954,1954,132000
1636,971.0,3.0,No,152,Rec,977,0,None,1978.5061638868744,3086,Ex,18030,138.0,0.0,0,6,5,1598,0.0,1946,1994,200500
1284,885.0,3.0,No,0,None,1284,647,RFn,2002.0,2169,Gd,9375,70.04995836802664,149.0,87,5,8,1284,0.0,2002,2002,228500
900,0.0,3.0,No,450,BLQ,432,280,Unf,1970.0,900,TA,9819,70.04995836802664,31.0,0,5,5,882,0.0,1967,1967,122000
1509,0.0,3.0,Av,783,GLQ,678,600,RFn,1988.0,1509,Gd,10200,85.0,219.0,0,5,6,1461,0.0,1988,1989,175000
616,688.0,3.0,Mn,0,Unf,264,336,Fin,1976.0,1304,TA,2665,70.04995836802664,0.0,24,6,5,264,141.0,1976,1976,115000
1052,720.0,4.0,No,378,None,342,240,None,1939.0,2192,Gd,8400,60.0,0.0,24,8,5,720,0.0,1939,1997,179500
1616,0.0,2.0,No,1180,GLQ,415,608,RFn,1995.0,1616,Gd,5389,39.0,0.0,152,5,8,1595,0.0,1995,1996,236500
1442,0.0,4.0,No,608,Rec,834,301,RFn,1958.0,1442,TA,9750,75.0,243.0,0,6,6,1442,0.0,1958,1958,157900
972,0.0,2.0,No,680,ALQ,292,240,Unf,1948.0,972,TA,8000,50.0,0.0,0,6,6,972,0.0,1948,2002,132000
1489,0.0,3.0,No,0,Unf,1489,776,RFn,2006.0,1489,Gd,11216,81.0,0.0,140,5,8,1489,0.0,2006,2006,232600
1069,0.0,2.0,No,360,ALQ,709,440,RFn,1977.0,1069,TA,4043,53.0,0.0,55,5,6,1069,0.0,1977,1977,127500
1306,0.0,3.0,No,0,Unf,728,0,None,1978.5061638868744,1306,Fa,5350,55.0,0.0,0,2,3,728,0.0,1940,1966,76500
1489,0.0,3.0,No,0,Unf,1489,462,RFn,1968.0,1489,Gd,9156,70.04995836802664,0.0,0,7,6,1489,0.0,1968,1968,185750
933,975.0,4.0,No,642,GLQ,273,493,Unf,1994.0,1908,Gd,8750,70.0,0.0,133,5,7,915,0.0,1994,1995,210000
1328,0.0,3.0,No,569,ALQ,678,528,Unf,1963.0,1328,TA,9790,70.04995836802664,451.0,26,5,6,1328,0.0,1963,1963,143000
1184,1426.0,4.0,Av,64,GLQ,1120,550,Fin,2007.0,2610,Ex,9000,75.0,0.0,364,5,8,1184,0.0,2007,2007,303477
1616,0.0,3.0,Av,0,Unf,1616,834,RFn,2005.0,1616,Gd,8688,73.0,228.0,59,5,7,1616,0.0,2005,2005,232000
1368,0.0,2.0,No,0,Unf,1368,474,RFn,2005.0,1368,Gd,6955,48.0,94.0,35,5,7,1368,0.0,2005,2006,202500
1482,780.0,2.86921381337252,Gd,871,GLQ,611,749,Fin,2003.0,2262,Gd,12244,85.0,226.0,0,5,8,1482,0.0,2003,2003,305000
894,0.0,3.0,No,894,ALQ,0,552,Unf,1975.0,894,TA,9800,70.0,0.0,0,7,5,894,0.0,1972,1972,149900
811,576.0,3.0,No,0,Unf,811,256,Unf,1954.0,1387,Gd,6000,50.0,0.0,0,4,5,811,0.0,1954,1954,93000
902,808.0,3.0,No,0,Unf,576,480,Unf,1990.0,1710,TA,10300,50.0,0.0,11,6,7,576,0.0,1921,1950,140000
847,886.0,3.0,Gd,0,Unf,847,433,Fin,2003.0,1733,Gd,12394,70.04995836802664,0.0,48,5,7,847,0.0,2003,2003,225000
912,0.0,2.0,No,737,ALQ,175,352,None,1962.0,912,TA,12968,70.04995836802664,0.0,0,6,5,912,0.0,1962,1962,144000
1466,1362.0,4.0,Gd,1150,GLQ,316,1052,RFn,2006.0,2828,Gd,9965,77.0,340.0,144,5,8,1466,0.0,2006,2007,424870
798,0.0,3.0,No,94,LwQ,641,220,Unf,1949.0,1487,TA,8741,52.0,0.0,140,4,6,735,0.0,1945,1950,113000
1334,0.0,2.0,No,686,ALQ,664,630,RFn,1977.0,1334,TA,9650,80.0,360.0,16,5,6,1350,0.0,1977,1977,167900
1360,1360.0,2.86921381337252,No,1036,None,140,795,Unf,1918.0,3112,Gd,25419,174.0,0.0,16,4,8,1360,0.0,1918,1990,235000
1057,872.0,3.0,No,738,None,319,650,Fin,2001.0,1929,Gd,7050,70.04995836802664,0.0,235,5,7,1057,0.0,2001,2001,226000
1411,0.0,3.0,No,822,ALQ,564,544,Fin,1977.0,1411,TA,11900,85.0,209.0,0,5,7,1386,0.0,1977,1977,82500
1247,0.0,1.0,No,1039,GLQ,208,550,Fin,2005.0,1247,Gd,3316,37.0,0.0,84,5,8,1247,0.0,2005,2005,197000
1144,0.0,3.0,No,594,BLQ,270,264,RFn,1961.0,1144,TA,10000,80.0,0.0,0,6,5,864,0.0,1961,1983,131400
